epoch,step,val_acc,val_loss
0,2,0.0,2.764328718185425
1,5,0.5,2.759194850921631
2,8,0.5,2.7540781497955322
3,11,0.5,2.74892258644104
4,14,0.5,2.7437784671783447
5,17,0.5,2.7386717796325684
6,20,0.5,2.73358154296875
7,23,0.5,2.7284936904907227
8,26,0.5,2.723374366760254
9,29,0.5,2.7182466983795166
