epoch,step,val_acc,val_loss
0,2,0.0,2.7821977138519287
1,5,0.0,2.7741925716400146
2,8,0.0,2.7665557861328125
3,11,0.0,2.759200096130371
4,14,0.5,2.7524688243865967
5,17,0.5,2.745469093322754
6,20,0.5,2.7383549213409424
7,23,0.5,2.731271743774414
8,26,0.5,2.7242207527160645
9,29,0.5,2.717202663421631
