Rank,Run ID,Generation,Architecture,Layers,Fold Accuracies,Validation Accuracy,Model Size,Training Time (s)
69,8,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 387, 'num_layers': 1, 'dropout_rate': 0.3593562984045974, 'bidirectional': False, 'attention': True, 'learning_rate': 0.00180250092522166, 'batch_size': 128, 'weight_decay': 1e-05, 'fitness': 0.5170000603791716, 'accuracy': 0.7086580086580087}","[0.9090909090909091, 0.3333333333333333, 0.9523809523809523, 0.8095238095238095, 0.7142857142857143]",0.7437229437229437,5525975.0,1.421056127548218
70,2,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.39686946963676284, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0001, 'batch_size': 32, 'weight_decay': 0}","[0.9090909090909091, 0.6666666666666666, 0.9047619047619048, 0.5238095238095238, 0.7142857142857143]",0.7437229437229437,661634.0,4.010814952850342
71,2,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.46820175180383394, 'bidirectional': True, 'attention': True, 'learning_rate': 6.309573444801929e-05, 'batch_size': 128, 'weight_decay': 5e-05, 'fitness': 0.3392223994764121, 'accuracy': 0.5753246753246753}","[0.9090909090909091, 0.3333333333333333, 0.9047619047619048, 0.8095238095238095, 0.7619047619047619]",0.7437229437229437,661634.0,1.8932181358337403
72,4,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.1, 'bidirectional': False, 'attention': True, 'learning_rate': 0.0018358415745881233, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.49297513996962783, 'accuracy': 0.6887445887445887}","[0.5909090909090909, 0.3333333333333333, 0.9523809523809523, 0.9047619047619048, 0.9047619047619048]",0.7372294372294372,661634.0,3.3595065116882323
73,4,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.21865662304167788, 'bidirectional': False, 'attention': True, 'learning_rate': 3.3677574285938653e-06, 'batch_size': 64, 'weight_decay': 1e-05, 'fitness': 0.36100123256042227, 'accuracy': 0.5839826839826839}","[0.6363636363636364, 0.7142857142857143, 0.9523809523809523, 0.9047619047619048, 0.47619047619047616]",0.7367965367965368,661634.0,2.5186694622039796
74,6,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 444, 'num_layers': 1, 'dropout_rate': 0.28787197087348226, 'bidirectional': True, 'attention': True, 'learning_rate': 6.369866519865943e-05, 'batch_size': 128, 'weight_decay': 0, 'fitness': 0.6155164018959686, 'accuracy': 0.7731601731601732}","[0.7272727272727273, 0.47619047619047616, 0.9523809523809523, 0.8095238095238095, 0.7142857142857143]",0.7359307359307359,6643574.0,5.848134517669678
75,4,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 512, 'num_layers': 2, 'dropout_rate': 0.21991986447738263, 'bidirectional': False, 'attention': True, 'learning_rate': 0.001, 'batch_size': 32, 'weight_decay': 0}","[0.7272727272727273, 0.47619047619047616, 0.9047619047619048, 0.9047619047619048, 0.6666666666666666]",0.7359307359307359,14115842.0,3.7801698207855225
76,2,5,LSTM,"{'model_type': 'LSTM', 'hidden_units': 400, 'num_layers': 1, 'dropout_rate': 0.5, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0016554973099531687, 'batch_size': 32, 'weight_decay': 0, 'fitness': 0.5954687563278453, 'accuracy': 0.7649350649350648}","[0.7272727272727273, 0.5714285714285714, 0.9047619047619048, 0.9047619047619048, 0.5714285714285714]",0.7359307359307359,5613602.0,3.346177577972412
77,3,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 512, 'num_layers': 2, 'dropout_rate': 0.352676994790182, 'bidirectional': False, 'attention': True, 'learning_rate': 0.0005647226419959103, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.3960643987189415, 'accuracy': 0.6116883116883116}","[0.8181818181818182, 0.6190476190476191, 0.9047619047619048, 0.9047619047619048, 0.42857142857142855]",0.735064935064935,14115842.0,5.8467020988464355
78,4,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 147, 'num_layers': 1, 'dropout_rate': 0.1, 'bidirectional': False, 'attention': True, 'learning_rate': 0.0003623898318388473, 'batch_size': 32, 'weight_decay': 0, 'fitness': 0.5735086757567329, 'accuracy': 0.7367965367965368}","[0.9090909090909091, 0.6666666666666666, 0.9047619047619048, 0.7142857142857143, 0.47619047619047616]",0.7341991341991342,1653751.0,2.0302237033843995
79,6,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 466, 'num_layers': 1, 'dropout_rate': 0.14372479118921636, 'bidirectional': True, 'attention': True, 'learning_rate': 6.38674965878316e-07, 'batch_size': 128, 'weight_decay': 5e-05, 'fitness': 0.5265340071718961, 'accuracy': 0.7077922077922079}","[0.9090909090909091, 0.6666666666666666, 0.5714285714285714, 0.8095238095238095, 0.7142857142857143]",0.7341991341991342,7095784.0,1.6094457626342773
80,4,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.1, 'bidirectional': True, 'attention': True, 'learning_rate': 0.001, 'batch_size': 32, 'weight_decay': 0, 'fitness': 0.5674617162878612, 'accuracy': 0.7359307359307359}","[0.9090909090909091, 0.6666666666666666, 0.9047619047619048, 0.6666666666666666, 0.5238095238095238]",0.7341991341991341,661634.0,3.104529047012329
81,9,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 512, 'num_layers': 1, 'dropout_rate': 0.39920049162193305, 'bidirectional': True, 'attention': True, 'learning_rate': 4.479519381549659e-06, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.7249263772634299, 'accuracy': 0.8484848484848484}","[0.9090909090909091, 0.23809523809523808, 0.9523809523809523, 0.9523809523809523, 0.6190476190476191]",0.7341991341991341,8078850.0,2.617445755004882
82,2,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 204, 'num_layers': 1, 'dropout_rate': 0.48434574175241885, 'bidirectional': True, 'attention': True, 'learning_rate': 3.816778909618178e-05, 'batch_size': 32, 'weight_decay': 5e-05}","[0.9090909090909091, 0.42857142857142855, 0.9523809523809523, 0.7142857142857143, 0.6666666666666666]",0.7341991341991341,2423114.0,3.4186238288879394
83,3,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 371, 'num_layers': 1, 'dropout_rate': 0.1, 'bidirectional': True, 'attention': True, 'learning_rate': 0.00021241256217051027, 'batch_size': 64, 'weight_decay': 1e-05, 'fitness': 0.574699211492623, 'accuracy': 0.735064935064935}","[0.9090909090909091, 0.47619047619047616, 0.9523809523809523, 0.9047619047619048, 0.42857142857142855]",0.7341991341991341,5087895.0,2.19946346282959
84,9,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.2626871148481692, 'bidirectional': True, 'attention': True, 'learning_rate': 0.002793044260354038, 'batch_size': 128, 'weight_decay': 0, 'fitness': 0.4091227007627098, 'accuracy': 0.6147186147186148}","[0.9545454545454546, 0.2857142857142857, 0.9523809523809523, 0.8095238095238095, 0.6666666666666666]",0.7337662337662336,665794.0,2.1687854290008546
85,1,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 156, 'num_layers': 1, 'dropout_rate': 0.43778220375432875, 'bidirectional': False, 'attention': True, 'learning_rate': 0.0001251363388454284, 'batch_size': 64, 'weight_decay': 5e-05, 'fitness': 0.6360372090061538, 'accuracy': 0.7722943722943721}","[0.5454545454545454, 0.5714285714285714, 0.9523809523809523, 0.9047619047619048, 0.6666666666666666]",0.7281385281385281,1769978.0,2.716394472122192
86,2,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.5, 'bidirectional': True, 'attention': True, 'learning_rate': 1.584893192461114e-05, 'batch_size': 32, 'weight_decay': 1e-05}","[0.5909090909090909, 0.47619047619047616, 0.9047619047619048, 0.9047619047619048, 0.7619047619047619]",0.7277056277056276,661634.0,3.1642011165618897
87,2,5,LSTM,"{'model_type': 'LSTM', 'hidden_units': 489, 'num_layers': 2, 'dropout_rate': 0.3305825716723771, 'bidirectional': True, 'attention': True, 'learning_rate': 8.790225168308843e-06, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.6510034750577307, 'accuracy': 0.800865800865801}","[0.6363636363636364, 0.7142857142857143, 0.6666666666666666, 0.9047619047619048, 0.7142857142857143]",0.7272727272727273,13087597.0,4.630362844467163
88,4,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.1, 'bidirectional': True, 'attention': True, 'learning_rate': 1.9739711577244924e-05, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.5009463175459619, 'accuracy': 0.6987012987012987}","[0.6818181818181818, 0.7142857142857143, 0.9523809523809523, 0.6190476190476191, 0.6666666666666666]",0.7268398268398268,661634.0,2.937388706207275
89,9,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 270, 'num_layers': 2, 'dropout_rate': 0.3299588463787456, 'bidirectional': False, 'attention': True, 'learning_rate': 0.0013558938999479624, 'batch_size': 32, 'weight_decay': 0, 'fitness': 0.5043128017683347, 'accuracy': 0.6982683982683981}","[0.6818181818181818, 0.42857142857142855, 0.9523809523809523, 0.9047619047619048, 0.6666666666666666]",0.7268398268398267,5230172.0,4.519954872131348
90,2,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 288, 'num_layers': 1, 'dropout_rate': 0.45128514167309725, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0035774277903542627, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.4950506256630879, 'accuracy': 0.6891774891774892}","[0.7272727272727273, 0.7142857142857143, 0.9047619047619048, 0.6666666666666666, 0.6190476190476191]",0.7264069264069264,3686978.0,3.837478637695313
91,6,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 321, 'num_layers': 1, 'dropout_rate': 0.24903108565592985, 'bidirectional': False, 'attention': True, 'learning_rate': 1.5968372817344942e-05, 'batch_size': 64, 'weight_decay': 0, 'fitness': 0.43053253101147293, 'accuracy': 0.6307359307359308}","[0.8181818181818182, 0.47619047619047616, 0.9047619047619048, 0.9047619047619048, 0.5238095238095238]",0.7255411255411255,4329329.0,6.593235731124878
92,9,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 2, 'dropout_rate': 0.222576481327703, 'bidirectional': True, 'attention': True, 'learning_rate': 3.098122952256214e-05, 'batch_size': 128, 'weight_decay': 0, 'fitness': 0.377893890727549, 'accuracy': 0.6025974025974026}","[0.8636363636363636, 0.6190476190476191, 0.9047619047619048, 0.5238095238095238, 0.7142857142857143]",0.7251082251082251,765122.0,2.2166073322296143
93,4,5,LSTM,"{'model_type': 'LSTM', 'hidden_units': 422, 'num_layers': 2, 'dropout_rate': 0.31459251462358395, 'bidirectional': False, 'attention': True, 'learning_rate': 0.004005205116963116, 'batch_size': 64, 'weight_decay': 1e-05, 'fitness': 0.4595555000357757, 'accuracy': 0.6497835497835498}","[0.9090909090909091, 0.5714285714285714, 0.7619047619047619, 0.9047619047619048, 0.47619047619047616]",0.7246753246753246,10305242.0,2.939935827255249
94,2,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.5, 'bidirectional': True, 'attention': True, 'learning_rate': 0.000411014325258621, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.574359308101757, 'accuracy': 0.7341991341991341}","[0.9090909090909091, 0.5238095238095238, 0.9047619047619048, 0.6666666666666666, 0.6190476190476191]",0.7246753246753246,661634.0,3.408189582824707
95,1,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.38902220918789837, 'bidirectional': True, 'attention': True, 'learning_rate': 1.8250249516991155e-06, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.4023609074530284, 'accuracy': 0.6043290043290043}","[0.9090909090909091, 0.47619047619047616, 0.9523809523809523, 0.6190476190476191, 0.6666666666666666]",0.7246753246753246,661378.0,2.696859836578369
96,1,5,LSTM,"{'model_type': 'LSTM', 'hidden_units': 297, 'num_layers': 1, 'dropout_rate': 0.1, 'bidirectional': False, 'attention': True, 'learning_rate': 0.00014552279933895137, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.5906858752226561, 'accuracy': 0.7532467532467533}","[0.9545454545454546, 0.7142857142857143, 0.5714285714285714, 0.9047619047619048, 0.47619047619047616]",0.7242424242424244,3830113.0,2.441157817840576
97,9,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 512, 'num_layers': 4, 'dropout_rate': 0.2052279402561504, 'bidirectional': True, 'attention': True, 'learning_rate': 1.956543806926213e-06, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.3388887923064977, 'accuracy': 0.5666666666666667}","[0.45454545454545453, 0.6190476190476191, 0.9047619047619048, 0.9047619047619048, 0.7142857142857143]",0.7194805194805195,26977794.0,5.1500073909759525
98,8,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 512, 'num_layers': 2, 'dropout_rate': 0.33238355694516214, 'bidirectional': False, 'attention': True, 'learning_rate': 0.00011717674262274335, 'batch_size': 128, 'weight_decay': 5e-05, 'fitness': 0.3637208076852413, 'accuracy': 0.5839826839826838}","[0.7272727272727273, 0.6190476190476191, 0.9047619047619048, 0.7142857142857143, 0.6190476190476191]",0.7168831168831169,14378498.0,2.2765384674072267
99,1,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.40417440466088744, 'bidirectional': False, 'attention': True, 'learning_rate': 2.384948468508757e-05, 'batch_size': 32, 'weight_decay': 5e-05}","[0.7272727272727273, 0.5714285714285714, 0.9047619047619048, 0.6666666666666666, 0.7142857142857143]",0.7168831168831169,661378.0,2.861876916885376
100,4,5,LSTM,"{'model_type': 'LSTM', 'hidden_units': 512, 'num_layers': 4, 'dropout_rate': 0.11446726638424794, 'bidirectional': False, 'attention': True, 'learning_rate': 0.0006631183357555965, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.572997594644849, 'accuracy': 0.7437229437229437}","[0.7272727272727273, 0.38095238095238093, 0.9047619047619048, 0.9047619047619048, 0.6666666666666666]",0.7168831168831169,26715138.0,8.559174537658691
101,2,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 220, 'num_layers': 1, 'dropout_rate': 0.11005481754055424, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0019707992892531146, 'batch_size': 128, 'weight_decay': 1e-05, 'fitness': 0.574359308101757, 'accuracy': 0.7341991341991341}","[0.7727272727272727, 0.42857142857142855, 0.9047619047619048, 0.7619047619047619, 0.7142857142857143]",0.7164502164502164,2651882.0,1.9408609390258789
102,1,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.5, 'bidirectional': False, 'attention': True, 'learning_rate': 0.00012457309396155178, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.43745378282972175, 'accuracy': 0.6415584415584416}","[0.7727272727272727, 0.7142857142857143, 0.9523809523809523, 0.6190476190476191, 0.5238095238095238]",0.7164502164502164,661378.0,3.296497106552124
103,8,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.4235093114806949, 'bidirectional': False, 'attention': True, 'learning_rate': 5.3778187907543325e-05, 'batch_size': 64, 'weight_decay': 0, 'fitness': 0.4405714128151258, 'accuracy': 0.6294372294372294}","[0.7727272727272727, 0.5714285714285714, 0.9047619047619048, 0.9047619047619048, 0.42857142857142855]",0.7164502164502163,665794.0,2.7377980232238768
104,6,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.32102584808644974, 'bidirectional': False, 'attention': True, 'learning_rate': 0.0005547847360339226, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.4181451972233667, 'accuracy': 0.6411255411255412}","[0.8181818181818182, 0.5714285714285714, 0.9047619047619048, 0.7142857142857143, 0.5714285714285714]",0.716017316017316,665794.0,3.3037107467651365
105,1,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 179, 'num_layers': 1, 'dropout_rate': 0.228167908169175, 'bidirectional': True, 'attention': True, 'learning_rate': 1.1924742342543784e-05, 'batch_size': 32, 'weight_decay': 0}","[0.8181818181818182, 0.6666666666666666, 0.9523809523809523, 0.6190476190476191, 0.5238095238095238]",0.716017316017316,2076043.0,3.5143506050109865
106,2,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 156, 'num_layers': 1, 'dropout_rate': 0.5, 'bidirectional': False, 'attention': True, 'learning_rate': 0.002754228703338169, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.6033841512284402, 'accuracy': 0.7532467532467532}","[0.9090909090909091, 0.5238095238095238, 0.9523809523809523, 0.6190476190476191, 0.5714285714285714]",0.7151515151515152,1770602.0,2.860036563873291
107,3,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 512, 'num_layers': 2, 'dropout_rate': 0.1, 'bidirectional': False, 'attention': True, 'learning_rate': 0.0001, 'batch_size': 32, 'weight_decay': 5e-05}","[0.9090909090909091, 0.6190476190476191, 0.9047619047619048, 0.5714285714285714, 0.5714285714285714]",0.7151515151515151,14115842.0,6.169185495376587
108,7,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 256, 'num_layers': 2, 'dropout_rate': 0.23668200664180442, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0025442106516410518, 'batch_size': 128, 'weight_decay': 1e-05}","[0.9090909090909091, 0.38095238095238093, 0.9047619047619048, 0.7142857142857143, 0.6666666666666666]",0.7151515151515151,4829954.0,2.1391191482543945
109,4,5,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.1028934532768496, 'bidirectional': False, 'attention': True, 'learning_rate': 0.0006192060638168895, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.44408626167867926, 'accuracy': 0.6398268398268397}","[0.5909090909090909, 0.6666666666666666, 0.9047619047619048, 0.5714285714285714, 0.8095238095238095]",0.7086580086580087,661634.0,3.5502978324890138
110,8,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 128, 'num_layers': 2, 'dropout_rate': 0.3593562984045974, 'bidirectional': True, 'attention': True, 'learning_rate': 0.00180250092522166, 'batch_size': 32, 'weight_decay': 0}","[0.5909090909090909, 0.7142857142857143, 0.9047619047619048, 0.5714285714285714, 0.7619047619047619]",0.7086580086580087,1825154.0,4.374292325973511
111,3,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 265, 'num_layers': 3, 'dropout_rate': 0.24200838506936498, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0018425145299354588, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.5107542162687833, 'accuracy': 0.6874458874458875}","[0.6363636363636364, 0.7142857142857143, 0.9047619047619048, 0.7619047619047619, 0.5238095238095238]",0.7082251082251082,6704501.0,6.9997330665588375
112,3,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.145481589519931, 'bidirectional': True, 'attention': True, 'learning_rate': 2.4082246852806917e-05, 'batch_size': 64, 'weight_decay': 1e-05}","[0.6363636363636364, 0.47619047619047616, 0.9047619047619048, 0.9047619047619048, 0.6190476190476191]",0.7082251082251082,661634.0,2.4976025581359864
113,2,5,LSTM,"{'model_type': 'LSTM', 'hidden_units': 387, 'num_layers': 3, 'dropout_rate': 0.41370648489149486, 'bidirectional': True, 'attention': True, 'learning_rate': 0.01946962572924892, 'batch_size': 64, 'weight_decay': 5e-05, 'fitness': 0.6147218006092633, 'accuracy': 0.7627705627705628}","[0.6363636363636364, 0.5714285714285714, 0.9047619047619048, 0.9047619047619048, 0.5238095238095238]",0.7082251082251082,12576727.0,4.689964532852173
114,4,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.1, 'bidirectional': False, 'attention': True, 'learning_rate': 4.614926613864667e-05, 'batch_size': 64, 'weight_decay': 1e-05, 'fitness': 0.6475372688874688, 'accuracy': 0.7813852813852813}","[0.6818181818181818, 0.42857142857142855, 0.9047619047619048, 0.8095238095238095, 0.7142857142857143]",0.7077922077922079,661634.0,1.3264605045318605
115,6,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 390, 'num_layers': 3, 'dropout_rate': 0.39246930085219456, 'bidirectional': False, 'attention': True, 'learning_rate': 6.38674965878316e-07, 'batch_size': 128, 'weight_decay': 0, 'fitness': 0.5035174834655629, 'accuracy': 0.6883116883116883}","[0.6818181818181818, 0.42857142857142855, 0.9047619047619048, 0.7142857142857143, 0.8095238095238095]",0.7077922077922079,12896132.0,3.1765316486358643
116,4,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.1, 'bidirectional': False, 'attention': True, 'learning_rate': 5.085232420189351e-06, 'batch_size': 64, 'weight_decay': 5e-05, 'fitness': 0.5674617162878612, 'accuracy': 0.7359307359307359}","[0.6818181818181818, 0.6190476190476191, 0.9047619047619048, 0.6666666666666666, 0.6666666666666666]",0.7077922077922076,661634.0,2.874831438064575
117,3,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 73, 'num_layers': 1, 'dropout_rate': 0.1, 'bidirectional': False, 'attention': True, 'learning_rate': 1.3294150751977365e-06, 'batch_size': 128, 'weight_decay': 1e-05, 'fitness': 0.536262900275292, 'accuracy': 0.7151515151515151}","[0.6818181818181818, 0.38095238095238093, 0.9523809523809523, 0.7619047619047619, 0.7619047619047619]",0.7077922077922076,761829.0,1.5624757289886475
118,2,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.5, 'bidirectional': True, 'attention': True, 'learning_rate': 0.00020200289939437227, 'batch_size': 32, 'weight_decay': 0, 'fitness': 0.4911603657365289, 'accuracy': 0.6696969696969697}","[0.7272727272727273, 0.6190476190476191, 0.9047619047619048, 0.7142857142857143, 0.5714285714285714]",0.7073593073593074,661634.0,4.928320789337159
119,3,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 168, 'num_layers': 1, 'dropout_rate': 0.15908193623343414, 'bidirectional': False, 'attention': True, 'learning_rate': 5.460475766452419e-07, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.6142682262886461, 'accuracy': 0.7722943722943723}","[0.7727272727272727, 0.47619047619047616, 0.9523809523809523, 0.6190476190476191, 0.7142857142857143]",0.706926406926407,1928978.0,3.358018684387207
120,4,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.1, 'bidirectional': True, 'attention': True, 'learning_rate': 3.851393797533389e-07, 'batch_size': 64, 'weight_decay': 1e-05, 'fitness': 0.5674617162878612, 'accuracy': 0.7359307359307359}","[0.8181818181818182, 0.42857142857142855, 0.9047619047619048, 0.6190476190476191, 0.7619047619047619]",0.7064935064935065,661634.0,1.6419483184814454
121,4,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 3, 'dropout_rate': 0.11446726638424794, 'bidirectional': False, 'attention': True, 'learning_rate': 0.00048771352492682805, 'batch_size': 64, 'weight_decay': 1e-05, 'fitness': 0.2948978723514092, 'accuracy': 0.519047619047619}","[0.8181818181818182, 0.38095238095238093, 0.9047619047619048, 0.9523809523809523, 0.47619047619047616]",0.7064935064935065,860290.0,3.510277795791626
122,4,5,LSTM,"{'model_type': 'LSTM', 'hidden_units': 203, 'num_layers': 1, 'dropout_rate': 0.17999999999999994, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0004319800385599209, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.5602992166857372, 'accuracy': 0.7056277056277056}","[0.8181818181818182, 0.6190476190476191, 0.9047619047619048, 0.7142857142857143, 0.47619047619047616]",0.7064935064935065,2408799.0,4.848329162597656
123,9,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 252, 'num_layers': 1, 'dropout_rate': 0.5, 'bidirectional': True, 'attention': True, 'learning_rate': 0.000165390448087131, 'batch_size': 32, 'weight_decay': 0, 'fitness': 0.30974390993275785, 'accuracy': 0.5467532467532468}","[0.9090909090909091, 0.42857142857142855, 0.9047619047619048, 0.8095238095238095, 0.47619047619047616]",0.7056277056277056,3190070.0,3.3822531700134277
124,5,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 128, 'num_layers': 1, 'dropout_rate': 0.3079286165310003, 'bidirectional': True, 'attention': True, 'learning_rate': 2.73084630453912e-05, 'batch_size': 32, 'weight_decay': 5e-05}","[0.9090909090909091, 0.38095238095238093, 0.9523809523809523, 0.7142857142857143, 0.5714285714285714]",0.7056277056277056,1429890.0,3.824432182312011
125,4,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 408, 'num_layers': 3, 'dropout_rate': 0.30500661129542167, 'bidirectional': False, 'attention': True, 'learning_rate': 0.0001, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.4259664631926848, 'accuracy': 0.6216450216450216}","[0.9090909090909091, 0.3333333333333333, 0.9047619047619048, 0.9047619047619048, 0.47619047619047616]",0.7056277056277056,13765106.0,5.222943258285523
126,1,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 102, 'num_layers': 1, 'dropout_rate': 0.1274248317510547, 'bidirectional': True, 'attention': True, 'learning_rate': 0.000429742005345353, 'batch_size': 32, 'weight_decay': 0, 'fitness': 0.48552676974779363, 'accuracy': 0.6796536796536797}","[0.9090909090909091, 0.5714285714285714, 0.9047619047619048, 0.6190476190476191, 0.5238095238095238]",0.7056277056277056,1096706.0,3.1527859687805178
127,2,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 308, 'num_layers': 1, 'dropout_rate': 0.5, 'bidirectional': True, 'attention': True, 'learning_rate': 8.688173386868526e-05, 'batch_size': 128, 'weight_decay': 5e-05, 'fitness': 0.6510034750577307, 'accuracy': 0.800865800865801}","[0.9090909090909091, 0.6666666666666666, 0.7619047619047619, 0.5714285714285714, 0.6190476190476191]",0.7056277056277056,4010778.0,1.4107439994812012
128,1,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 125, 'num_layers': 1, 'dropout_rate': 0.4187896340170664, 'bidirectional': False, 'attention': True, 'learning_rate': 8.950250709279722e-05, 'batch_size': 32, 'weight_decay': 0, 'fitness': 0.4206739848174405, 'accuracy': 0.6320346320346321}","[0.9090909090909091, 0.6190476190476191, 0.9047619047619048, 0.5714285714285714, 0.5238095238095238]",0.7056277056277056,1375501.0,3.815381336212158
129,6,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 85, 'num_layers': 1, 'dropout_rate': 0.1, 'bidirectional': True, 'attention': True, 'learning_rate': 0.00010120112468341283, 'batch_size': 128, 'weight_decay': 0, 'fitness': 0.6035950800018675, 'accuracy': 0.7632034632034632}","[0.9090909090909091, 0.38095238095238093, 0.9047619047619048, 0.6666666666666666, 0.6666666666666666]",0.7056277056277056,905677.0,8.12775297164917
130,8,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 390, 'num_layers': 2, 'dropout_rate': 0.48143897526130996, 'bidirectional': True, 'attention': True, 'learning_rate': 4.749307963380894e-06, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.34705197040145686, 'accuracy': 0.5476190476190477}","[0.5909090909090909, 0.47619047619047616, 0.9523809523809523, 0.9047619047619048, 0.5714285714285714]",0.6991341991341992,9239492.0,2.9563748836517334
