Rank,Run ID,Generation,Architecture,Layers,Fold Accuracies,Validation Accuracy,Model Size,Training Time (s)
22,3,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.1, 'bidirectional': True, 'attention': True, 'learning_rate': 1.486734580182315e-05, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.6254009558419303, 'accuracy': 0.7839826839826839}","[0.9090909090909091, 0.7619047619047619, 0.9523809523809523, 0.5714285714285714, 0.7142857142857143]",0.7818181818181819,661634.0,3.3654292583465577
23,6,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 128, 'num_layers': 1, 'dropout_rate': 0.16695791389699147, 'bidirectional': True, 'attention': True, 'learning_rate': 3.918271344157694e-06, 'batch_size': 64, 'weight_decay': 5e-05}","[0.9090909090909091, 0.47619047619047616, 0.9523809523809523, 0.9047619047619048, 0.6666666666666666]",0.7818181818181817,1429890.0,1.8642340660095216
24,1,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 241, 'num_layers': 1, 'dropout_rate': 0.18148513637499322, 'bidirectional': True, 'attention': True, 'learning_rate': 2.3664658365361627e-05, 'batch_size': 32, 'weight_decay': 0, 'fitness': 0.5257397015854244, 'accuracy': 0.7168831168831169}","[0.9545454545454546, 0.5714285714285714, 0.9523809523809523, 0.7142857142857143, 0.7142857142857143]",0.7813852813852814,2959481.0,3.013911819458008
25,4,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 215, 'num_layers': 1, 'dropout_rate': 0.11808408298030992, 'bidirectional': False, 'attention': True, 'learning_rate': 0.0002559556963463129, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.621978521799236, 'accuracy': 0.7818181818181819}","[0.9545454545454546, 0.5714285714285714, 0.9523809523809523, 0.9047619047619048, 0.5238095238095238]",0.7813852813852813,2579571.0,3.378531265258789
26,8,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 281, 'num_layers': 2, 'dropout_rate': 0.2806820694471348, 'bidirectional': False, 'attention': True, 'learning_rate': 9.976311574844394e-07, 'batch_size': 64, 'weight_decay': 0}","[0.9545454545454546, 0.6190476190476191, 0.9047619047619048, 0.9047619047619048, 0.5238095238095238]",0.7813852813852813,5554529.0,4.184528064727783
27,7,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 131, 'num_layers': 4, 'dropout_rate': 0.2298982596628516, 'bidirectional': True, 'attention': True, 'learning_rate': 1.4125375446227554e-06, 'batch_size': 32, 'weight_decay': 5e-05}","[0.7272727272727273, 0.6190476190476191, 0.9047619047619048, 0.7142857142857143, 0.9047619047619048]",0.7740259740259741,2709999.0,9.22851815223694
28,1,5,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.34216473128065217, 'bidirectional': True, 'attention': True, 'learning_rate': 5.988210718879319e-06, 'batch_size': 32, 'weight_decay': 0, 'fitness': 0.668690544724041, 'accuracy': 0.8103896103896103}","[0.7272727272727273, 0.5714285714285714, 0.9047619047619048, 0.9047619047619048, 0.7619047619047619]",0.774025974025974,661378.0,2.4329375267028808
29,6,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 384, 'num_layers': 1, 'dropout_rate': 0.33161173692639306, 'bidirectional': False, 'attention': True, 'learning_rate': 6.369866519865943e-05, 'batch_size': 32, 'weight_decay': 0, 'fitness': 0.394220420570622, 'accuracy': 0.6216450216450217}","[0.8181818181818182, 0.6666666666666666, 0.9047619047619048, 0.9047619047619048, 0.5714285714285714]",0.7731601731601732,5469314.0,10.527102661132812
30,6,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.39666537476008257, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0035270383256087844, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.42605959015592587, 'accuracy': 0.6294372294372295}","[0.9090909090909091, 0.7142857142857143, 0.9047619047619048, 0.7142857142857143, 0.6190476190476191]",0.7722943722943724,665794.0,12.196089792251588
31,3,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 432, 'num_layers': 1, 'dropout_rate': 0.14106280675168797, 'bidirectional': False, 'attention': True, 'learning_rate': 8.035962845591377e-06, 'batch_size': 128, 'weight_decay': 5e-05, 'fitness': 0.33515185603823106, 'accuracy': 0.5744588744588744}","[0.9090909090909091, 0.6190476190476191, 0.9523809523809523, 0.7142857142857143, 0.6666666666666666]",0.7722943722943723,6214754.0,1.6262139320373534
32,9,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 485, 'num_layers': 1, 'dropout_rate': 0.4274962501476322, 'bidirectional': True, 'attention': True, 'learning_rate': 3.84344799432149e-06, 'batch_size': 32, 'weight_decay': 0, 'fitness': 0.43730330834805853, 'accuracy': 0.6311688311688312}","[0.9090909090909091, 0.6666666666666666, 0.9047619047619048, 0.9047619047619048, 0.47619047619047616]",0.7722943722943723,7495677.0,4.244153642654419
