Run ID,Generation,Architecture,Layers,Fold Accuracies,Validation Accuracy,Model Size,Training Time (s)
1,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 256, 'num_layers': 1, 'dropout_rate': 0.3583813229918767, 'bidirectional': False, 'attention': True, 'learning_rate': 0.00024082246852806917, 'batch_size': 32, 'weight_decay': 0}","[0.7272727272727273, 0.47619047619047616, 0.9047619047619048, 0.7142857142857143, 0.7619047619047619]",0.7168831168831169,3186178.0,3.289750337600708
1,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 128, 'num_layers': 2, 'dropout_rate': 0.343053945362179, 'bidirectional': False, 'attention': True, 'learning_rate': 2.8717458874925846e-05, 'batch_size': 32, 'weight_decay': 5e-05}","[0.9090909090909091, 0.5238095238095238, 0.9047619047619048, 0.7619047619047619, 0.5714285714285714]",0.7341991341991342,1808130.0,3.4929903507232667
1,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 409, 'num_layers': 2, 'dropout_rate': 0.3213953451040916, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0001, 'batch_size': 64, 'weight_decay': 1e-05}","[0.9090909090909091, 0.42857142857142855, 0.7142857142857143, 0.9047619047619048, 0.5714285714285714]",0.7056277056277056,9799641.0,3.4442389488220213
1,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 153, 'num_layers': 2, 'dropout_rate': 0.41188733834911145, 'bidirectional': True, 'attention': True, 'learning_rate': 0.00030000000000000014, 'batch_size': 64, 'weight_decay': 5e-05}","[0.7272727272727273, 0.6666666666666666, 0.6666666666666666, 0.7142857142857143, 0.5714285714285714]",0.6692640692640692,2295001.0,3.46440167427063
1,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 2, 'dropout_rate': 0.34044069008790545, 'bidirectional': True, 'attention': True, 'learning_rate': 4.152436465385058e-05, 'batch_size': 32, 'weight_decay': 1e-05}","[0.9545454545454546, 0.7619047619047619, 0.6190476190476191, 0.5714285714285714, 0.6190476190476191]",0.7051948051948052,760706.0,3.8168766021728517
1,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 217, 'num_layers': 1, 'dropout_rate': 0.36742276885996317, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0001, 'batch_size': 32, 'weight_decay': 5e-05}","[0.9545454545454546, 0.38095238095238093, 0.9047619047619048, 0.7142857142857143, 0.5238095238095238]",0.6956709956709957,2607473.0,2.7708502769470216
2,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.3942935849343469, 'bidirectional': True, 'attention': True, 'learning_rate': 0.00024082246852806917, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.5671032448205542, 'accuracy': 0.7341991341991341}","[0.9090909090909091, 0.6666666666666666, 0.9047619047619048, 0.5238095238095238, 0.42857142857142855]",0.6865800865800865,661378.0,2.903903865814209
2,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 3, 'dropout_rate': 0.28919271023095017, 'bidirectional': True, 'attention': True, 'learning_rate': 0.00024082246852806917, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.5652890695636964, 'accuracy': 0.7341991341991342}","[0.7272727272727273, 0.42857142857142855, 0.9523809523809523, 0.9047619047619048, 0.7619047619047619]",0.7549783549783549,860034.0,7.535498714447021
2,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 256, 'num_layers': 1, 'dropout_rate': 0.4426337076317945, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0001, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.5330887240085881, 'accuracy': 0.7056277056277056}","[0.8181818181818182, 0.6190476190476191, 0.9523809523809523, 0.7142857142857143, 0.5238095238095238]",0.7255411255411255,3186178.0,2.768405723571777
2,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 179, 'num_layers': 1, 'dropout_rate': 0.30748228977086034, 'bidirectional': False, 'attention': True, 'learning_rate': 1.1924742342543784e-05, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.5329956842199663, 'accuracy': 0.7168831168831169}","[0.6818181818181818, 0.7619047619047619, 0.9523809523809523, 0.6190476190476191, 0.7142857142857143]",0.7458874458874459,2076043.0,3.6580529689788817
