epoch,step,val_acc,val_loss
0,2,0.5,1.3791553974151611
1,5,0.5,1.3778250217437744
2,8,0.5,1.37648606300354
3,11,0.5,1.3751829862594604
4,14,0.5,1.3738293647766113
5,17,0.5,1.372440218925476
6,20,0.5,1.3710551261901855
7,23,0.5,1.3696486949920654
8,26,0.5,1.3682467937469482
9,29,0.5,1.3668668270111084
